"field_name","key"
Account Number,ACCOUNT NO
Account Number,Account Number
Account Number,Account Number -
Account Number,Account Number - 
Account Number,Statement of Account No
Account Number,Statement of Axis Account No
Balance,BALANCE
Balance,Balance(INR)
Balance,Closing Balance
Closing Balance,Closing Bal
Closing Balance,CLOSING BALANCE
Credit,CREDIT
Credit,DEPOSIT
Credit,Deposit Amt
Credit,Deposit Amt.
Credit,DEPOSITS
Credit,DR/CR
Credit,Type
Credit,Withdrawal (Dr)/ Deposit (Cr)
Debit,DEBIT
Debit,DR/CR
Debit,Type
Debit,Withdrawal Amt.
Debit,Withdrawal (Dr)/ Deposit (Cr)
Debit,Withdrawals
Debit,WITHDRAWS
Description,Description
Description,DESCRIPTION
Description,NARATION
Description,Narration
Description,Particulars
Description,Remarks
Description,Transaction
Description,Transaction Particulars
Description,Transaction Remarks
IFSC Code,AFSC
IFSC Code,IFSC
IFSC Code,IFSC CODE
IFSC Code,RTGS/NEFT IFSC
Opening Balance,BROUGHT FORWARD
Opening Balance,OPENING BALANCE
Statement Date,DATE
Statement Date,Date of Statement
Statement Date,Date of Statement 
Statement Date,Generated On
Statement Date,Statement date
Statement Period From,(From
Statement Period From,From
Statement Period From,Period
Statement Period From,Period From
Statement Period From,Statement for the Period From
Statement Period From,Statement From
Statement Period From,STATEMENT PERIOD
Statement Period From,STATEMENT PERIOD FROM
Statement Period From,Transaction date
Statement Period To,Period
Statement Period To,Period To
Statement Period To,Statement for the Period to
Statement Period To,Statement from
Statement Period To,STATEMENT PERIOD
Statement Period To,STATEMENT PERIOD TO
Statement Period To,Statement To
Statement Period To,To
Transaction Date,DATE
Transaction Date,Post Date
Transaction Date,Tran Date
Transaction Date,Transaction Date
Transaction Date,Trans Date
Transaction Date,Txn Date
Value Date,VALUE DATE
Value Date,Value Dt
